100,150,200,250,300,350,400,500,600,650,700,1100,1500,5000,10000,20000,100000,1000000
1.19047619,1.333333333,1.428571429,1.523809524,1.452380952,1.658536585,1.707317073,1.756097561,1.804878049,1.804878049,1.829268293,1.829268293,1.829268293,1.80952381,1.80952381,1.80952381,1.853658537,1.857142857
